,inflac_acm_adv,juros_acm
2019-12-01,0.45,7.360000000000001
2020-01-01,0.9,7.740000000000001
2020-02-01,1.05,8.030000000000001
2020-03-01,1.37,8.370000000000001
2020-04-01,1.8,8.65
2020-05-01,2.55,8.89
2020-06-01,3.1199999999999997,9.100000000000001
2020-07-01,3.2499999999999996,9.290000000000001
2020-08-01,3.2599999999999993,9.450000000000001
2020-09-01,3.4499999999999993,9.610000000000001
2020-10-01,3.559999999999999,9.770000000000001
2020-11-01,3.519999999999999,9.920000000000002
2020-12-01,3.619999999999999,10.080000000000002
2021-01-01,4.129999999999999,10.230000000000002
2021-02-01,5.279999999999999,10.360000000000003
2021-03-01,5.489999999999999,10.560000000000002
2021-04-01,5.739999999999999,10.770000000000003
2021-05-01,5.81,11.040000000000003
2021-06-01,5.5,11.350000000000003
2021-07-01,5.12,11.710000000000003
2021-08-01,5.38,12.140000000000002
2021-09-01,5.74,12.580000000000002
2021-10-01,5.98,13.070000000000002
2021-11-01,6.62,13.660000000000002
2021-12-01,7.48,14.430000000000001
2022-01-01,8.370000000000001,15.160000000000002
2022-02-01,9.72,15.920000000000002
2022-03-01,9.97,16.85
2022-04-01,10.83,17.68
2022-05-01,11.76,18.71
2022-06-01,12.07,19.73
2022-07-01,12.9,20.76
2022-08-01,13.43,21.93
2022-09-01,14.39,23.0
2022-10-01,15.26,24.02
2022-11-01,16.419999999999998,25.04
2022-12-01,17.669999999999998,26.16
2023-01-01,18.619999999999997,27.28
2023-02-01,19.349999999999998,28.200000000000003
2023-03-01,19.889999999999997,29.370000000000005
2023-04-01,20.9,30.290000000000006
2023-05-01,22.52,31.410000000000007
2023-06-01,23.58,32.480000000000004
2023-07-01,24.049999999999997,33.550000000000004
2023-08-01,24.72,34.690000000000005
2023-09-01,24.04,35.660000000000004
